發生年度,發生月份,發生日期,發生時間,天候名稱,光線名稱,道路類別-第1當事者-名稱,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,經度,緯度
2022,1,20220102,120029,晴,日間自然光線,省道,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,中央分向島,窄式無柵欄,車道線(無標記),未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷1,2,機車,大型重型1(550C.C.以上),男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,121.1243,24.723004
2022,1,20220102,183000,晴,夜間(或隧道、地下道、涵洞)有照明,省道,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,駕駛人,未注意車前狀態,死亡1;受傷0,1,機車,普通重型,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,121.12067,24.942567
2022,1,20220102,183000,晴,夜間(或隧道、地下道、涵洞)有照明,省道,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,駕駛人,未注意車前狀態,死亡1;受傷0,2,小貨車(含客、貨兩用),自用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,靜止(引擎熄火),汽車,左後車尾(身),121.12067,24.942567
2022,1,20220103,61900,晴,晨或暮光,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,人與汽(機)車,同向通行中,駕駛人,未保持行車安全間隔,死亡1;受傷0,1,大貨車,自用,男,不明,不明,車的狀態,向前直行中,其他,不明,120.9177,24.830363
2022,1,20220103,61900,晴,晨或暮光,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,人與汽(機)車,同向通行中,駕駛人,未保持行車安全間隔,死亡1;受傷0,2,人,行人,男,其他(無需使用保護裝備之人),非駕駛人,人的狀態,靜立(止),其他,非汽(機)車,120.9177,24.830363
2022,1,20220103,143613,晴,日間自然光線,市區道路,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷0,1,曳引車,營業用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,汽車,右前車頭(身),120.183539,23.238279
2022,1,20220103,143613,晴,日間自然光線,市區道路,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷0,2,機車,普通重型,女,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,左側車身,120.183539,23.238279
2022,1,20220103,151100,晴,日間自然光線,縣道,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷2,1,曳引車,自用,男,不明,不明,車的狀態,左轉彎,汽車,右側車身,120.425678,23.781693
2022,1,20220103,151100,晴,日間自然光線,縣道,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷2,2,小客車,自用,男,不明,不明,車的狀態,向前直行中,汽車,前車頭,120.425678,23.781693
2022,1,20220103,151100,晴,日間自然光線,縣道,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷2,3,人,乘客,女,不明,非駕駛人,人的狀態,其他,其他,非汽(機)車,120.425678,23.781693
2022,1,20220103,151100,晴,日間自然光線,縣道,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷2,4,人,乘客,男,不明,非駕駛人,人的狀態,其他,其他,非汽(機)車,120.425678,23.781693
2022,1,20220103,152800,晴,日間自然光線,市區道路,單路部分,彎曲路及附近,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞路樹、電桿,駕駛人,未注意車前狀態,死亡1;受傷0,1,機車,普通重型,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,121.242182,24.892017
2022,1,20220103,175700,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷1,1,機車,普通重型,女,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,左側車身,120.289087,22.744546
2022,1,20220103,175700,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷1,2,機車,普通重型,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,120.289087,22.744546
2022,1,20220103,201700,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,其他,開啟車門不當而肇事,死亡1;受傷0,1,小客車,自用,男,不明,不明,車的狀態,靜止(引擎熄火),汽車,左側車身,121.603284,25.07336
2022,1,20220103,201700,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,其他,開啟車門不當而肇事,死亡1;受傷0,2,機車,普通重型,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,121.603284,25.07336
2022,1,20220103,201700,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,無,車與車,其他,其他,開啟車門不當而肇事,死亡1;受傷0,3,小客車,自用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,後車尾,121.603284,25.07336
2022,1,20220103,203200,晴,夜間(或隧道、地下道、涵洞)有照明,省道,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡1;受傷0,1,機車,普通重型,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,左側車身,120.453833,23.605946
2022,1,20220103,203200,晴,夜間(或隧道、地下道、涵洞)有照明,省道,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡1;受傷0,3,小客車,自用,男,未戴案全帽或未繫安全帶(未使用幼童安全椅),未使用,車的狀態,等待(引擎未熄火),汽車,左後車尾(身),120.453833,23.605946
2022,1,20220103,203200,晴,夜間(或隧道、地下道、涵洞)有照明,省道,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡1;受傷0,4,大貨車,營業用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向右變換車道,汽車,右後車尾(身),120.453833,23.605946
2022,1,20220104,25100,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,中央分向島,寛式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,人與汽(機)車,穿越道路中,行人(或乘客),未依標誌、標線、號誌或手勢指揮穿越道路,死亡1;受傷0,1,人,行人,男,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽(機)車,121.557744,25.041145
2022,1,20220104,25100,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,中央分向島,寛式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,人與汽(機)車,穿越道路中,行人(或乘客),未依標誌、標線、號誌或手勢指揮穿越道路,死亡1;受傷0,2,小客車,計程車,男,不明,不明,車的狀態,向前直行中,汽車,右前車頭(身),121.557744,25.041145
2022,1,20220104,54039,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,起步未注意其他車(人)安全,死亡1;受傷1,1,大貨車,自用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,起步,汽車,左側車身,120.241365,22.918509
2022,1,20220104,54039,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,起步未注意其他車(人)安全,死亡1;受傷1,2,小客車,自用,男,不明,不明,車的狀態,向前直行中,汽車,前車頭,120.241365,22.918509
2022,1,20220104,54039,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,起步未注意其他車(人)安全,死亡1;受傷1,3,人,乘客,女,不明,非駕駛人,人的狀態,其他,其他,非汽(機)車,120.241365,22.918509
2022,1,20220104,61300,晴,晨或暮光,市區道路,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(附標記),未繪設快慢車道分隔線,有,人與汽(機)車,穿越道路中,駕駛人,未注意車前狀態,死亡1;受傷0,1,小客車,租賃車,男,不明,不明,車的狀態,向前直行中,汽車,前車頭,121.085675,24.763831
2022,1,20220104,61300,晴,晨或暮光,市區道路,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(附標記),未繪設快慢車道分隔線,有,人與汽(機)車,穿越道路中,駕駛人,未注意車前狀態,死亡1;受傷0,2,人,行人,男,不明,不明,人的狀態,步行,其他,非汽(機)車,121.085675,24.763831
2022,1,20220104,112700,晴,日間自然光線,市區道路,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,人與汽(機)車,其他,駕駛人,起步未注意其他車(人)安全,死亡1;受傷0,1,大貨車,營業用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,起步,汽車,左前車頭(身),120.312536,22.797866
2022,1,20220104,112700,晴,日間自然光線,市區道路,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,人與汽(機)車,其他,駕駛人,起步未注意其他車(人)安全,死亡1;受傷0,2,人,行人,男,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽(機)車,120.312536,22.797866
2022,1,20220104,132300,晴,日間自然光線,市區道路,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞橋樑、建築物,駕駛人,酒醉(後)駕駛失控,死亡1;受傷2,1,小客車,自用,女,不明,不明,車的狀態,向前直行中,汽車,左前車頭(身),120.742683,24.15743
2022,1,20220104,132300,晴,日間自然光線,市區道路,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞橋樑、建築物,駕駛人,酒醉(後)駕駛失控,死亡1;受傷2,4,機車,普通重型,女,不明,未使用,車的狀態,靜止(引擎熄火),機車,左側車身,120.742683,24.15743
2022,1,20220104,132300,晴,日間自然光線,市區道路,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞橋樑、建築物,駕駛人,酒醉(後)駕駛失控,死亡1;受傷2,7,人,乘客,女,不明,未使用,人的狀態,其他,其他,非汽(機)車,120.742683,24.15743
2022,1,20220104,132300,晴,日間自然光線,市區道路,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞橋樑、建築物,駕駛人,酒醉(後)駕駛失控,死亡1;受傷2,8,人,乘客,女,不明,未使用,人的狀態,其他,其他,非汽(機)車,120.742683,24.15743
2022,1,20220105,81000,晴,日間自然光線,村里道路,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,其他,其他引起事故之違規或不當行為,死亡1;受傷1,1,機車,普通重型,女,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,插入行列,機車,左側車身,121.299793,25.042555
2022,1,20220105,81000,晴,日間自然光線,村里道路,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,其他,其他引起事故之違規或不當行為,死亡1;受傷1,2,機車,普通重型,女,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,121.299793,25.042555
2022,1,20220105,111700,晴,日間自然光線,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,未注意車前狀態,死亡2;受傷0,1,機車,普通重型,女,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,左側車身,120.3757,22.69664
2022,1,20220105,111700,晴,日間自然光線,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,未注意車前狀態,死亡2;受傷0,2,半聯結車,營業用,男,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,120.3757,22.69664
2022,1,20220105,111700,晴,日間自然光線,市區道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,未注意車前狀態,死亡2;受傷0,3,人,乘客,女,戴安全帽或繫安全帶(使用幼童安全椅),非駕駛人,人的狀態,靜立(止),其他,非汽(機)車,120.3757,22.69664
2022,1,20220105,161000,晴,日間自然光線,村里道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,人與汽(機)車,同向通行中,駕駛人,未注意車前狀態,死亡1;受傷1,1,小客車,自用,男,不明,不明,車的狀態,向前直行中,汽車,前車頭,121.753367,24.678192
2022,1,20220105,161000,晴,日間自然光線,村里道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,人與汽(機)車,同向通行中,駕駛人,未注意車前狀態,死亡1;受傷1,2,人,行人,男,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽(機)車,121.753367,24.678192
2022,1,20220105,161000,晴,日間自然光線,村里道路,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,人與汽(機)車,同向通行中,駕駛人,未注意車前狀態,死亡1;受傷1,3,人,行人,女,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽(機)車,121.753367,24.678192
